temperature,humidity,pressure,time_since_last,cluster
75.6,47.36,1011.33,0.0,0
75.58,47.32,1011.32,1.507551908493042,0
75.58,47.34,1011.34,1.5341432094573977,0
75.56,47.36,1011.34,1.5393719673156738,0
75.56,47.37,1011.32,1.5495896339416504,0
75.56,47.4,1011.35,1.5256626605987549,0
75.6,47.38,1011.35,1.5405523777008057,0
75.58,47.36,1011.33,1.55199933052063,0
75.56,47.3,1011.35,1.5111980438232422,0
75.56,47.3,1011.36,1.229499578475952,0
75.54,47.31,1011.34,1.5368847846984863,0
75.54,47.33,1011.35,1.5471687316894531,0
75.54,47.36,1011.35,1.5351667404174805,0
75.54,47.34,1011.36,1.5230462551116943,0
75.56,47.34,1011.35,1.5524823665618896,0
75.54,47.32,1011.33,1.5198509693145752,0
75.54,47.33,1011.36,1.5353844165802002,0
75.52,47.35,1011.37,1.5392816066741943,0
75.52,47.36,1011.33,1.235029220581055,0
75.51,47.36,1011.36,1.53147554397583,0
75.51,47.38,1011.34,1.5389492511749268,0
75.49,47.41,1011.32,1.5322270393371582,0
75.42,45.53,1011.29,6.605783700942993,0
75.42,45.53,1011.29,0.0704891681671142,0
75.42,45.53,1011.31,0.0461888313293457,0
75.4,45.5,1011.31,0.0455334186553955,0
75.42,45.44,1011.31,0.6135191917419434,0
75.43,45.6,1011.32,1.5260868072509766,0
75.42,45.86,1011.27,1.5425443649291992,0
75.42,46.04,1011.29,1.545087814331055,0
75.42,46.16,1011.29,1.5191094875335691,0
75.42,46.45,1011.3,1.5402731895446775,0
75.42,46.75,1011.3,1.5317518711090088,0
75.45,46.79,1011.31,1.5269989967346191,0
75.38,47.27,1011.3,6.566807746887207,0
75.38,47.29,1011.32,0.0427553653717041,0
75.38,47.29,1011.32,0.0435197353363037,0
75.38,47.28,1011.32,0.0447010993957519,0
75.38,47.3,1011.34,0.6856064796447754,0
75.36,47.34,1011.3,1.5422701835632324,0
75.34,47.38,1011.36,1.5406627655029297,0
75.34,47.4,1011.31,1.5261621475219729,0
75.33,47.44,1011.27,6.556133270263672,0
75.33,47.44,1011.28,0.0448555946350097,0
75.33,47.44,1011.28,0.0434253215789794,0
75.33,47.44,1011.26,0.0806696414947509,0
75.33,47.44,1011.28,0.6620614528656006,0
75.33,47.42,1011.27,1.5219871997833252,0
75.31,47.42,1011.3,1.5458362102508545,0
75.31,47.46,1011.25,1.5475196838378906,0
75.31,47.42,1011.3,1.5017914772033691,0
75.29,47.41,1011.28,1.2379038333892822,0
75.29,47.41,1011.29,1.5419116020202637,0
75.29,47.36,1011.26,1.540470838546753,0
75.29,47.28,1011.26,1.5357286930084229,0
75.31,47.29,1011.3,1.552596092224121,0
75.31,47.31,1011.29,1.5206170082092283,0
75.31,47.34,1011.3,1.538830041885376,0
75.33,47.24,1011.28,1.5237393379211426,0
75.36,47.27,1011.27,1.527116775512695,0
75.36,47.28,1011.28,1.2451679706573486,0
75.38,47.33,1011.28,1.5289125442504885,0
75.38,47.34,1011.28,1.552778244018555,0
75.34,47.45,1011.26,1.5382256507873535,0
75.34,47.44,1011.26,1.525197982788086,0
75.33,47.35,1011.25,1.5247411727905271,0
75.33,47.27,1011.25,1.5438919067382812,0
75.31,47.17,1011.29,1.5219135284423828,0
75.29,47.16,1011.26,1.251774787902832,0
75.29,47.18,1011.25,1.5243988037109375,0
75.29,47.21,1011.24,1.5542113780975342,0
75.29,47.19,1011.23,1.5459861755371094,0
75.31,47.19,1011.24,1.5121736526489258,0
75.29,47.21,1011.25,1.5319061279296875,0
75.29,47.23,1011.24,1.5381441116333008,0
75.25,47.35,1011.24,6.53436017036438,0
75.25,47.35,1011.24,0.0571355819702148,0
75.25,47.37,1011.23,0.0453841686248779,0
75.25,47.37,1011.23,0.0476856231689453,0
75.25,47.31,1011.26,0.7016022205352783,0
75.25,47.3,1011.25,1.5260705947875977,0
